original index,context,text,crowdsourced,dave,tim,label,llama3.1:8b-instruct-q8_0,deepseek-r1:14b,gpt-4o-mini,o3-mini
4432,NotreDame,"Can’t help but feel very uncomfortable over the amount of money that has been pledged to restore a building, in less than 24 hours. If only the same could be said for helping and raising money for people. 😢 #NotreDameCathedralFire #TuesdayThoughts",sadness,disgust,anger,disgust,sadness,sadness,sadness,sadness
107,ChampionsLeague,that free kick from 🐐 #Messi unbelievable #600th club goal for him n what a goal #ChampionsLeague #BARLIV https://t.co/5pbG9ZZx1G,surprise,surprise,surprise,surprise,joy,joy,joy,joy
3882,ChampionsLeague,It really is a pleasure to be alive and witness Messi magic on a football pitch #BARLIV #ChampionsLeague,joy,joy,joy,joy,joy,joy,joy,joy
4222,Venezuela,"#Pompeo: #Maduro Was Ready to Flee #Venezuela This Morning, But #Russia Talked Him Out of It https://t.co/lTzgUcHTiD",surprise,anger,surprise,disgust,surprise,surprise,anger,surprise
6627,WorldBookDay,"It’s Women’s History Month! To celebrate the women who have shaped our history, here are 10 inspiring books for a young audience to read! USER #30Seconds #WomensHistoryMonth #history #women #books #WorldBookDay https://t.co/Flkim232Sc",joy,joy,joy,joy,joy,joy,joy,joy
3652,Venezuela,"USER USER USER_Org USER   Still think #Venezuela is a #Socialist paradise? I'm more that happy to buy you a first-class, one-way ticket so you can show your solidarity and maybe use some of your millions to buy food for those starving. https://t.co/Jy7eFLoJvn",disgust,disgust,anger,anger,anger,anger,anger,anger
1975,GretaThunberg,"#Germany’s rightwing populists (#AFD) embrace climate change denial to boost support, teaming up with scientists who claim #hysteria is driving the global warming debate and ridiculing #GretaThunberg as “mentally challenged” and a ""fraud.” https://t.co/NDpzOxCo3R",anger,anger,anger,disgust,anger,disgust,anger,anger
1754,LaLiga,Congrats to USER on their successful defense of their #LaLiga title! Now let’s make it the double! #TeamMessi #Barça,joy,joy,joy,joy,joy,joy,joy,joy
6960,WorldBookDay,"The ocean is full of beauty. For #WorldBookDay, read about all the fishes in the sea in ""Eye of the Shoal: A Fishwatcher’s Guide to Life, the Ocean and Everything."" Reviewed by USER_is_brit   https://t.co/lIfCuRz5Xj",joy,joy,joy,joy,joy,joy,joy,joy
5277,ChampionsLeague,It just feels fitting for Barca to win the #ChampionsLeague in Madrid.,joy,joy,joy,joy,joy,joy,joy,joy
3423,WorldBookDay,Over 200 followers that's  super awesome guys!!!  I really appreciate everything you do and for putting up with my unique brand of crazy.  #ThanksaBillion #WorldBookDay #follobackforfolloback #hostileplanet #dancedancedance https://t.co/y6gKLjfGZD,surprise,joy,joy,joy,joy,joy,joy,joy
728,WorldBookDay,"#WorldBookDay i was in love with reading before i was finished learning how to. from baby books to bibliophile, my journey with reading will be lucky in my eyes. im not sure what my first chapter book was, as i was reading entire boois and novels while i was still in preschool.+",joy,joy,joy,joy,joy,joy,joy,joy
6522,Venezuela,USER USER You've been telling all of us about #Venezuela for a long time. Sorry to see what's going on in your country. Let's all hope and pray that things can change for the better very soon.,sadness,sadness,sadness,sadness,sadness,sadness,sadness,sadness
4061,WorldBookDay,"Ernest Hemingway had rightly said, ""There is no friend as loyal as a book"". This #WorldBookDay let's celebrate the power of books and develop a positive vision towards leading our life. #WorldBookDay2019 USER USER",joy,joy,joy,joy,joy,joy,joy,joy
1768,GameOfThrones,"I feel like I'm saying this every week but am I the only one who thought #GameofThrones was actually really poor this week?   Awfully shot and full of flimsy logic with a massively bloated runtime as well. This season is shaping up worse than the last one, big disappointment.",disgust,surprise,sadness,disgust,disgust,anger,anger,anger
121,LaLiga,Lets go USER. We take matter in our own hands. This is the moment we have been fighting for. Lets make it happen. #viscabarça #WeColorFootball #laliga,joy,joy,joy,anger,joy,joy,joy,joy
6367,GameOfThrones,"Great episode of #GameofThrones last night, but honestly, #BattleoftheBastards &gt; #BattleofWinterfell IMO",joy,joy,joy,surprise,joy,joy,joy,joy
4986,WorldBookDay,Happy #WorldBookDay 📖📖 to you readers&amp; Bookworms. Keep on navigating  like a voyager  who is in search of proposition   &amp; contentment   in life .  May your indomitable learning zeal  excel in a right way . Keep on absorbing comprehension at the speed of light.,joy,joy,joy,joy,joy,joy,joy,joy
2700,NotreDame,A monument to human creation/achievement has been lost. That it's been used as a house of worship is irrelevant. That some in our community are behaving as reactionary tribalists shouldn't guide our response. Condolences. #NotreDame #NotreDameCathedralFire #NotreDameCathedral https://t.co/ZyrlwFNXOR,sadness,sadness,sadness,sadness,sadness,sadness,sadness,sadness
3732,GameOfThrones,Love spending the whole time squinting even after adjusting the TV brightness. #GameOfThrones #CantSeeShit,disgust,anger,anger,anger,disgust,anger,anger,anger
1401,GameOfThrones,"#GameOfThrones lost many beloved characters during Sunday night’s episode, but one stood out from the rest. https://t.co/DAD8Lxmwzd #girlpower",sadness,sadness,sadness,surprise,joy,sadness,sadness,sadness
4341,GretaThunberg,USER USER Yes !! #Parents4future in support of #Fridaysforfuture and #SchoolStrike4Climate #GretaThunberg #globalstrike.,joy,joy,joy,joy,joy,joy,joy,joy
3346,LaLiga,🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🐐  Leo #Messi has claimed his 10th #LaLiga title as #Barcelona defeated #Levante 1-0  ... #Messi with the decisive 2nd half goal  https://t.co/rSerk0vq7m https://t.co/SJqFuR5iUT,joy,joy,joy,joy,joy,joy,joy,joy
2523,GretaThunberg,We should all be reported for our Climate Change denial eventually. The politicising of the children is a good thing. #GretaThunberg #orwellian #thoughtcrime https://t.co/tHw2ec65vK,disgust,anger,joy,joy,anger,anger,anger,anger
22,GretaThunberg,👧 Who is #GretaThunberg? One of the world’s 100 most influential people? A girl encouraged by the Pope to “keep doing what she’s doing.”? A Noble Peace Prize nominee? The new Che Guevara? 🛑 Or just a child abused by media? https://t.co/oFOwxuE7Lq USER USER_Replica,disgust,anger,surprise,surprise,anger,disgust,anger,anger
3457,LaLiga,Leo Leo! Best player. So it's done. #LaLiga,joy,joy,joy,joy,joy,joy,joy,joy
4550,NotreDame,Imagine how quickly #FlintMichigan would have water if USER donated the same $5M pledged to #NotreDameCathedralFire. Imagine what brilliant architects we’d inspire if we cared enough to give folks the resources they deserve; are OWED. #ChildrenAreChurches #defendthesacred,anger,anger,anger,disgust,anger,anger,anger,anger
4189,Venezuela,USER Thanks for the update. Praying for the ppl of #Venezuela tonight.,sadness,fear,sadness,fear,sadness,sadness,sadness,sadness
3009,ChampionsLeague,Best of luck to USER who are taking on USER tonight in the #ChampionsLeague semi-final! 🔴⚽️  We're looking forward to welcoming Barcelona fans to Liverpool next week! 🙌 https://t.co/AIWUQ7ySq1,joy,joy,joy,joy,joy,joy,joy,joy
5964,LaLiga,The Champion of Spain!  Congratulations USER  #LaLiga,joy,joy,joy,joy,joy,joy,joy,joy
287,NotreDame,The amount of people complaining about people being sad about the Notre Dame is absurdly worrying. Why can't you feel sad that a part of history (and art/architecture not to mention religious to some) has been irreversibly damaged? #NotreDameCathedralFire #NotreDame,disgust,fear,anger,disgust,sadness,anger,sadness,anger
3794,WorldBookDay,Happy #WorldBookDay! If you are currently looking for something to read why not check out these 5 books that USER suggests every IT Professional should read.   https://t.co/F0tL0S1Kbb #professionaldevelopment #books #education,joy,joy,joy,joy,joy,joy,joy,joy
4803,NotreDame,"I know my pics of Notre Dame can't do its beauty justice, but I'm posting to mourn with the collective over an impossible loss. #NotreDameCathedralFire https://t.co/JKR7gu8Fa2",sadness,sadness,sadness,sadness,sadness,sadness,sadness,sadness
2355,ChampionsLeague,Very disappointed Salah failed to net that. You just have to score or at least hit the target. What more can you say about Messi. Ridiculous man. Ridiculous career. #BARLIV #ChampionsLeague,disgust,sadness,sadness,disgust,anger,,anger,anger
5433,WorldBookDay,"Wow! And they don't even have to sell coffee, cards, or socks. Buy a book today -- and read it! #WorldBookDay https://t.co/qBpv52AlRW",joy,joy,joy,surprise,joy,surprise,joy,joy
3553,ChampionsLeague,Wow MESSI what a goal 🔥🔥🔥#ChampionsLeague,joy,surprise,surprise,surprise,joy,joy,joy,joy
2508,LaLiga,King of #LaLiga! Substitute #Messi delivers title to #Barca with Levante win #FanaticalFootballClub #FanaticalFanClub #WhereWeShootAndYouScore #FFCNewsUpadate https://t.co/rpL0bdIvR2,joy,joy,surprise,joy,joy,joy,joy,joy
3229,ChampionsLeague,What a night for #Barcelona! #Messi reaches 600 career goals by scoring a free kick out of this world and the #Catalans take the advantage in first leg of 1/2 final against #Liverpool!   #ucl #BarçaLFC #championsleague https://t.co/gAOFKZsDt5,surprise,surprise,surprise,surprise,joy,joy,joy,joy
1301,GameOfThrones,Game of thrones. Episode 3. No comment. Nothing at all. Just fucking amazing. #GameofThrones,joy,surprise,surprise,surprise,joy,joy,joy,joy
7022,GameOfThrones,"I'm generally really against spoilers - I can't hear a tiny detail without my brain immediately extrapolating everything around it - but still, the race to catch up on stuff before someone well-meaning 'thinks' they're not spoiling something is REALLY STRESSFUL... #GameofThrones",anger,fear,anger,fear,anger,fear,anger,fear
6621,WorldBookDay,In honor of #WorldBookDay 📚📖 Go get #BeforeWeWereWicked by Eric Jerome Dickey💕 out on all platforms. You won’t regret it.🤗😉 https://t.co/G2KEJqOhHu,joy,joy,joy,joy,joy,joy,joy,joy
4678,NotreDame,I want to visit this beautiful museum 😢 it was museum not just another church #NotreDameCathedralFire,sadness,sadness,sadness,sadness,sadness,sadness,sadness,sadness
2499,WorldBookDay,To read and write stories is my greatest joy. #WorldBookDay https://t.co/PB3xIfZ0wd,joy,joy,joy,joy,joy,joy,joy,joy
